PARTIDO;PROVINCIA;"¿Tiene ordenanza específica sobre agroquímicos?
(Sí/No)";Número de Ordenanza;Año de Sancion;"Vigencia
(Vigente / Derogada / Suspendida / No reglamentada / Parcialmente suspendida)";"Marco regulatorio aplicable
(Ordenanza municipal / Ley provincial 10.699 / Mixto / Solo cautelar judicial / Sin regulación específica)";"Tipo de contenido principal
(Regula distancias / Crea registro Regula envases / residuos / Regula transporte / Prohibición puntual / Adhesión provincial / Integral)";Exclusión terrestre urbana (m);¿Prohibición total terrestre en área urbana? (Sí/No);Amortiguamiento terrestre urbana (m);Exclusión aérea urbana (m);Amortiguamiento aérea urbana (m);Exclusión escuelas rurales terrestre (m);Exclusión escuelas rurales aérea (m);Exclusión cursos de agua terrestre (m);Exclusión cursos de agua aérea (m);Exige receta agronómica;Crea registro municipal de aplicadores;Exige aviso previo a municipio;Exige notificación a escuelas;Exige presencia de ingeniero agrónomo;Limita por banda toxicológica;Prohíbe aplicación aérea totalmente;Establece restricciones horarias escolares;Establece protección específica de agua más allá de distancia;Existencia de medida judicial vinculada (Sí/No);Artículos suspendidos judicialmente (Sí/No);Proceso de reforma o debate en curso (Sí/No);"Observaciones 
(Cautelar vigente / Ordenanza no reglamentada  / En revisión / Conflicto vecinal activo / Adhesión sin implementación)"
Villa General Belgrano;Córdoba;Sí;1516;2009;Vigente;Ordenanza municipal;Integral;500;No;NA;NA;NA;NA;NA;500;NA;No;No;No;No;No;No;Sí;Sí;Sí;No;No;No;Prohibición aérea total restricción horaria protección cursos de agua
Villa María;Córdoba;Sí;6118;NA;Vigente;Ordenanza municipal;Integral;200;Sí;1500;1500;NA;NA;NA;NA;NA;No;No;No;No;No;Sí;No;No;No;No;No;No;Zona de resguardo 200 m autorización municipal obligatoria
Colón;Entre Ríos;Sí;55;2012;Vigente;Ordenanza municipal;Integral;2000;Sí;NA;3000;NA;2000;NA;NA;NA;Sí;No;Sí;No;No;Sí;No;No;No;No;No;No;Exclusión amplia urbana y periurbana aviso previo 48 h
Gualeguaychú;Entre Ríos;Sí;11318 y 12963;2009 y 2024;Vigente;Mixto;Integral;200;No;NA;NA;NA;NA;NA;NA;NA;Sí;No;Sí;No;No;Sí;Sí;No;No;Sí;No;No;Derogación prohibición glifosato por fallo TSJ
San José;Entre Ríos;Sí;19;2018;Vigente;Ordenanza municipal;Integral;300;Sí;NA;NA;NA;300;NA;NA;NA;Sí;No;Sí;No;Sí;Sí;Sí;No;Sí;No;No;No;Transición agroecológica en intersticio urbano
San Anita;Entre Ríos;Sí;93;2008;Vigente;Mixto;Regula distancias;200;No;1000;3000;NA;NA;NA;NA;NA;No;No;Sí;No;Sí;Sí;No;No;No;No;No;No;Aviso previo 24 h perímetro urbano definido por calles
Urdinarrain;Entre Ríos;Sí;1113;2016;Vigente;Ordenanza municipal;Integral;600;Sí;500;3000;NA;NA;NA;NA;NA;No;No;No;No;No;Sí;No;No;No;No;No;No;Restricción adicional disposición envases vacíos
Viale;Entre Ríos;Sí;1;2018;Suspendida;Ordenanza municipal;Prohibición puntual;NA;Sí;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;Sí;No;Suspensión temporaria pulverizaciones
Victoria;Entre Ríos;Sí;2790;2009;Vigente;Ordenanza municipal;Prohibición puntual;NA;Sí;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Excepción parcelas rurales específicas
Villa Elisa;Entre Ríos;Sí;1920;2018;Vigente;Ordenanza municipal;Integral;400;Sí;2500;NA;NA;NA;100;NA;NA;Sí;No;No;No;No;Sí;No;No;Sí;No;No;No;Zona de mitigación y control diferenciadas
Villa Larroque;Entre Ríos;Sí;355;2004;Vigente;Ordenanza municipal;Regula distancias;500;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Texto completo no accesible referencia secundaria
Eduardo Castex;La Pampa;Sí;35;2013;Vigente;Mixto;Integral;500;No;NA;1500;NA;NA;NA;NA;NA;No;No;Sí;Sí;Sí;Sí;No;Sí;No;No;No;No;Adhesión ley provincial prohibición aérea 1500 m
General Pico;La Pampa;Sí;185 y 132;2009 y 2013;Vigente;Ordenanza municipal;Integral;500;No;1000;NA;NA;NA;NA;NA;NA;No;Sí;Sí;No;No;Sí;Sí;No;No;No;No;No;Prohibición ingreso y depósito de equipos suelo urbanizable
Ingeniero Luiggi;La Pampa;Sí;58;2012;Vigente;Ordenanza municipal;Integral;NA;No;500;1000;1500;NA;NA;NA;NA;No;No;Sí;No;Sí;Sí;No;No;No;No;No;No;Escalonamiento por bandas toxicológicas muy detallado
Rancul;La Pampa;Sí;43;2013;Vigente;Ordenanza municipal;Integral;500;No;2000;2000;NA;500;2000;NA;NA;No;No;Sí;Sí;No;Sí;No;Sí;No;No;No;No;Prohibición aérea hasta 2000 m aviso previo obligatorio
Realico;La Pampa;Sí;16;2015;Vigente;Ordenanza municipal;Integral;NA;Sí;1000;1000;NA;NA;NA;NA;NA;No;No;Sí;No;No;No;No;No;No;No;No;No;Zona protección ambiental solo línea jardín dentro ejido
Santa Rosa;La Pampa;Sí;4822;2013;Vigente;Ordenanza municipal;Integral;500;No;NA;2000;NA;NA;NA;NA;NA;No;No;Sí;No;No;Sí;Sí;No;No;No;No;No;Centro poblado protección fuerte aérea 2000 m
Trenel;La Pampa;Sí;2012;2012;Vigente;Ordenanza municipal;Integral;NA;Sí;500;1000;NA;500;1000;NA;NA;No;No;No;Sí;No;Sí;Sí;Sí;No;No;No;No;Zonas urbana suburbana y rural diferenciadas
Winifreda;La Pampa;Sí;478;2015;Vigente;Ordenanza municipal;Integral;500;No;1000;1000;NA;NA;NA;NA;NA;Sí;No;Sí;No;No;Sí;Sí;No;No;No;No;No;Zona buffer con fuerte control municipal
General Roca;Neuquén;Sí;4232;2006;Vigente;Ordenanza municipal;Regula envases residuos;NA;No;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Ordenanza regula manejo de envases vacíos no establece distancias
San Carlos De Bariloche;Río Negro;Sí;2164-CM-11;2011;Vigente;Ordenanza municipal;Prohibición puntual;NA;Sí;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;No;No;No;No;No;No;Prohibición total de uso aplicación y venta de glifosato en todo el ejido municipal
Las Lajitas;Salta;Sí;NA;NA;Vigente;Ordenanza municipal;Integral;500;Sí;1500;1500;NA;NA;NA;NA;NA;No;No;Sí;No;No;Sí;Sí;No;No;No;No;No;Zona de Resguardo 500 m prohibición total salvo agricultura orgánica autorización municipal obligatoria
Arequito;Santa Fe;Sí;965;2011;Vigente;Mixto;Integral;500;No;1000;3000;NA;NA;NA;NA;NA;No;Sí;No;No;No;Sí;No;No;No;No;No;No;Zona 1000 m sin productos volátiles prohibición banda roja en todo el distrito
Casilda;Santa Fe;Sí;NA;NA;Vigente;Mixto;Regula distancias;500;No;NA;1000;NA;NA;NA;NA;NA;No;No;No;No;No;Sí;No;No;No;No;No;No;Texto completo no accesible aérea prohibida 1000 m
El Trébol;Santa Fe;Sí;149;1991;Vigente;Ordenanza municipal;Regula distancias;NA;No;NA;3000;NA;NA;NA;3000;NA;No;No;Sí;No;No;Sí;No;No;No;No;No;No;Protección represas agua potable aviso previo 24 h
Santa Fe;Santa Fe;Sí;11462;2018;Vigente;Ordenanza municipal;Prohibición puntual;NA;Sí;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;No;Sí;No;No;No;No;No;Aérea prohibida total en ejido restricción terrestre clases I y II
Sastre;Santa Fe;Sí;1174;2019;Parcialmente suspendida;Ordenanza municipal;Integral;1000;Sí;1200;3000;NA;NA;NA;NA;NA;No;No;No;No;No;Sí;No;No;No;Sí;Sí;No;Fallo 2023 fija exclusión terrestre 1000 m e inconstitucionalidad parcial
Ortiz;Santa Fe;Sí;1174;2019;Parcialmente suspendida;Ordenanza municipal;Integral;1000;Sí;1200;3000;NA;NA;NA;NA;NA;No;No;No;No;No;Sí;No;No;No;Sí;Sí;No;Fallo 2023 fija exclusión terrestre 1000 m e inconstitucionalidad parcial
Bandera;Santiago del Estero;Sí;1;2017;Vigente;Mixto;Regula distancias;100;Sí;NA;NA;NA;NA;NA;NA;NA;No;No;No;No;No;Sí;No;Sí;No;No;No;No;Adhiere Ley 6312 establece zona de exclusión poligonal prohíbe banda roja y hormonales anti deriva obligatorio
